"Tuberculosis incidence (per 100,000 people)"
"HDI Rank (2018)","Country","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"170","Afghanistan","190.0","","189.0","","189.0","","189.0","","189.0","","189.0","","189.0","","189.0","","189.0","","189.0",""
"69","Albania","22.0","","19.0","","17.0","","17.0","","16.0","","19.0","","16.0","","16.0","","16.0","","20.0",""
"82","Algeria","74.0","","80.0","","77.0","","73.0","","73.0","","67.0","","72.0","","74.0","","70.0","","70.0",""
"36","Andorra","21.0","","15.0","","9.5","","4.1","","13.0","","7.1","","8.7","","5.9","","6.0","","1.5",""
"149","Angola","297.0","","368.0","","384.0","","383.0","","380.0","","376.0","","370.0","","366.0","","362.0","","359.0",""
"74","Antigua and Barbuda","5.5","","7.7","","8.5","","7.2","","3.6","","12.0","","3.5","","4.4","","3.4","","1.1",""
"48","Argentina","37.0","","31.0","","20.0","","27.0","","24.0","","24.0","","25.0","","25.0","","27.0","","26.0",""
"81","Armenia","54.0","","92.0","","61.0","","55.0","","53.0","","60.0","","57.0","","50.0","","44.0","","36.0",""
"6","Australia","6.3","","5.9","","6.5","","6.3","","6.6","","6.2","","6.5","","6.1","","6.6","","6.8",""
"20","Austria","17.0","","13.0","","9.1","","9.1","","8.4","","8.4","","7.5","","7.5","","8.2","","7.4",""
"87","Azerbaijan","80.0","","88.0","","104.0","","125.0","","86.0","","78.0","","76.0","","71.0","","66.0","","67.0",""
"60","Bahamas","32.0","","17.0","","9.9","","13.0","","9.9","","10.0","","15.0","","18.0","","26.0","","15.0",""
"45","Bahrain","36.0","","36.0","","23.0","","20.0","","20.0","","18.0","","16.0","","15.0","","12.0","","12.0",""
"135","Bangladesh","221.0","","221.0","","221.0","","221.0","","221.0","","221.0","","221.0","","221.0","","221.0","","221.0",""
"56","Barbados","1.3","","3.9","","2.5","","0.0","","1.6","","1.6","","2.0","","0.0","","1.2","","0.0",""
"50","Belarus","86.0","","69.0","","67.0","","62.0","","63.0","","59.0","","51.0","","50.0","","42.0","","37.0",""
"17","Belgium","14.0","","12.0","","11.0","","10.0","","9.4","","9.3","","9.1","","9.5","","10.0","","9.2",""
"103","Belize","49.0","","41.0","","52.0","","26.0","","29.0","","40.0","","24.0","","25.0","","38.0","","36.0",""
"163","Benin","86.0","","73.0","","68.0","","67.0","","66.0","","64.0","","61.0","","60.0","","59.0","","58.0",""
"134","Bhutan","249.0","","192.0","","225.0","","208.0","","188.0","","176.0","","172.0","","153.0","","178.0","","134.0",""
"114","Bolivia (Plurinational State of)","184.0","","158.0","","135.0","","131.0","","127.0","","123.0","","120.0","","117.0","","114.0","","111.0",""
"75","Bosnia and Herzegovina","82.0","","70.0","","44.0","","46.0","","48.0","","44.0","","42.0","","39.0","","32.0","","27.0",""
"94","Botswana","914.0","","728.0","","518.0","","480.0","","445.0","","414.0","","385.0","","356.0","","326.0","","300.0",""
"79","Brazil","51.0","","50.0","","44.0","","44.0","","44.0","","44.0","","43.0","","42.0","","42.0","","44.0",""
"43","Brunei Darussalam","106.0","","51.0","","70.0","","67.0","","70.0","","60.0","","55.0","","58.0","","66.0","","64.0",""
"52","Bulgaria","52.0","","52.0","","41.0","","37.0","","36.0","","33.0","","32.0","","28.0","","27.0","","25.0",""
"182","Burkina Faso","70.0","","64.0","","58.0","","57.0","","55.0","","54.0","","54.0","","52.0","","51.0","","49.0",""
"185","Burundi","290.0","","195.0","","144.0","","138.0","","133.0","","128.0","","126.0","","122.0","","118.0","","114.0",""
"126","Cabo Verde","160.0","","153.0","","147.0","","145.0","","144.0","","143.0","","138.0","","139.0","","137.0","","134.0",""
"146","Cambodia","575.0","","511.0","","436.0","","423.0","","411.0","","400.0","","390.0","","368.0","","345.0","","326.0",""
"150","Cameroon","309.0","","311.0","","260.0","","251.0","","242.0","","235.0","","220.0","","212.0","","203.0","","194.0",""
"13","Canada","6.4","","5.5","","4.6","","4.8","","5.4","","5.3","","5.1","","5.2","","5.5","","5.5",""
